data_previsao;nome;valor;data_rodada;cenario
2001-02-18;boa_esperanca;13.3;2001-03-08;historico
2001-02-19;boa_esperanca;8.3;2001-03-08;historico
2001-02-20;boa_esperanca;5.3;2001-03-08;historico
2001-02-21;boa_esperanca;5.8;2001-03-08;historico
2001-02-22;boa_esperanca;9.5;2001-03-08;historico
2001-02-23;boa_esperanca;1.6;2001-03-08;historico
2001-02-24;boa_esperanca;1.6;2001-03-08;historico
2001-02-25;boa_esperanca;3.6;2001-03-08;historico
2001-02-26;boa_esperanca;3.7;2001-03-08;historico
2001-02-27;boa_esperanca;12;2001-03-08;historico
2001-02-28;boa_esperanca;3.1;2001-03-08;historico
2001-03-01;boa_esperanca;7.2;2001-03-08;historico
2001-03-02;boa_esperanca;3;2001-03-08;historico
2001-03-03;boa_esperanca;0.7;2001-03-08;historico
2001-03-04;boa_esperanca;1;2001-03-08;historico
2001-03-05;boa_esperanca;0.3;2001-03-08;historico
2001-03-06;boa_esperanca;1.8;2001-03-08;historico
2001-03-07;boa_esperanca;4.1;2001-03-08;historico
2001-03-08;boa_esperanca;0.4;2001-03-08;historico
2001-03-09;boa_esperanca;0;2001-03-08;historico
2001-03-10;boa_esperanca;4.5;2001-03-08;historico
2001-03-11;boa_esperanca;17.8;2001-03-08;historico
2001-03-12;boa_esperanca;33.1;2001-03-08;historico
2001-03-13;boa_esperanca;15.2;2001-03-08;historico
2001-03-14;boa_esperanca;29.7;2001-03-08;historico
2001-03-15;boa_esperanca;7.7;2001-03-08;historico
2001-03-16;boa_esperanca;11.4;2001-03-08;historico
2001-03-17;boa_esperanca;6;2001-03-08;historico
2001-03-18;boa_esperanca;1.7;2001-03-08;historico
2001-03-19;boa_esperanca;1.2;2001-03-08;historico
2001-03-20;boa_esperanca;7;2001-03-08;historico
2001-03-21;boa_esperanca;1.9;2001-03-08;historico
2001-03-22;boa_esperanca;0.2;2001-03-08;historico
2001-03-23;boa_esperanca;0;2001-03-08;historico
2001-03-24;boa_esperanca;0.5;2001-03-08;historico
2001-03-25;boa_esperanca;2.2;2001-03-08;historico
2001-03-26;boa_esperanca;1.1;2001-03-08;historico
2001-03-27;boa_esperanca;4.8;2001-03-08;historico
2001-03-28;boa_esperanca;1.4;2001-03-08;historico
2001-03-29;boa_esperanca;4.2;2001-03-08;historico
2001-03-30;boa_esperanca;2.8;2001-03-08;historico
2001-03-31;boa_esperanca;1.2;2001-03-08;historico
2001-04-01;boa_esperanca;4.2;2001-03-08;historico
2001-04-02;boa_esperanca;0.9;2001-03-08;historico
2001-04-03;boa_esperanca;0.2;2001-03-08;historico
2001-04-04;boa_esperanca;6.7;2001-03-08;historico
2001-04-05;boa_esperanca;0;2001-03-08;historico
2001-04-06;boa_esperanca;0.1;2001-03-08;historico
2001-04-07;boa_esperanca;0;2001-03-08;historico
2001-04-08;boa_esperanca;0.2;2001-03-08;historico
2001-04-09;boa_esperanca;0.6;2001-03-08;historico
2001-04-10;boa_esperanca;0;2001-03-08;historico
2001-04-11;boa_esperanca;0.5;2001-03-08;historico
2001-04-12;boa_esperanca;1.2;2001-03-08;historico
2001-04-13;boa_esperanca;0.8;2001-03-08;historico
2001-04-14;boa_esperanca;0.5;2001-03-08;historico
2001-04-15;boa_esperanca;2.5;2001-03-08;historico
2001-04-16;boa_esperanca;2.9;2001-03-08;historico
2001-04-17;boa_esperanca;7.1;2001-03-08;historico
2001-04-18;boa_esperanca;5.3;2001-03-08;historico
2001-04-19;boa_esperanca;9.1;2001-03-08;historico
2001-04-20;boa_esperanca;14;2001-03-08;historico
2001-04-21;boa_esperanca;8;2001-03-08;historico
2001-04-22;boa_esperanca;8.4;2001-03-08;historico
2001-04-23;boa_esperanca;4.5;2001-03-08;historico
2001-04-24;boa_esperanca;0;2001-03-08;historico
2001-04-25;boa_esperanca;0;2001-03-08;historico
2001-04-26;boa_esperanca;0;2001-03-08;historico
2001-04-27;boa_esperanca;0;2001-03-08;historico
2001-04-28;boa_esperanca;0.1;2001-03-08;historico
2001-04-29;boa_esperanca;0;2001-03-08;historico
2001-04-30;boa_esperanca;0;2001-03-08;historico
2001-05-01;boa_esperanca;0;2001-03-08;historico
2001-05-02;boa_esperanca;0;2001-03-08;historico
2001-05-03;boa_esperanca;0;2001-03-08;historico
2001-05-04;boa_esperanca;0;2001-03-08;historico
2001-05-05;boa_esperanca;0;2001-03-08;historico
2001-05-06;boa_esperanca;0;2001-03-08;historico
2001-05-07;boa_esperanca;0;2001-03-08;historico
2001-05-08;boa_esperanca;0;2001-03-08;historico
2001-05-09;boa_esperanca;0;2001-03-08;historico
2001-05-10;boa_esperanca;12.6;2001-03-08;historico
2001-05-11;boa_esperanca;10.6;2001-03-08;historico
2001-05-12;boa_esperanca;5.4;2001-03-08;historico
2001-05-13;boa_esperanca;2.5;2001-03-08;historico
2001-05-14;boa_esperanca;0.2;2001-03-08;historico
2001-05-15;boa_esperanca;0.8;2001-03-08;historico
2001-05-16;boa_esperanca;0.1;2001-03-08;historico
2001-05-17;boa_esperanca;0;2001-03-08;historico
2001-05-18;boa_esperanca;0.1;2001-03-08;historico
2001-05-19;boa_esperanca;0;2001-03-08;historico
2001-05-20;boa_esperanca;0.1;2001-03-08;historico
2001-05-21;boa_esperanca;2.2;2001-03-08;historico
2001-05-22;boa_esperanca;0;2001-03-08;historico
2001-05-23;boa_esperanca;0;2001-03-08;historico
2001-05-24;boa_esperanca;0;2001-03-08;historico
2001-05-25;boa_esperanca;0;2001-03-08;historico
2001-05-26;boa_esperanca;0.1;2001-03-08;historico
2001-05-27;boa_esperanca;0.8;2001-03-08;historico
2001-05-28;boa_esperanca;3.7;2001-03-08;historico
2001-05-29;boa_esperanca;1.3;2001-03-08;historico
2001-05-30;boa_esperanca;0.7;2001-03-08;historico
2001-05-31;boa_esperanca;0.4;2001-03-08;historico
2001-06-01;boa_esperanca;0.2;2001-03-08;historico
2001-06-02;boa_esperanca;0.1;2001-03-08;historico
2001-06-03;boa_esperanca;0;2001-03-08;historico
2001-06-04;boa_esperanca;0.1;2001-03-08;historico
2001-06-05;boa_esperanca;0.3;2001-03-08;historico
2001-06-06;boa_esperanca;0;2001-03-08;historico
2001-06-07;boa_esperanca;0;2001-03-08;historico
2001-06-08;boa_esperanca;0;2001-03-08;historico
2001-06-09;boa_esperanca;0.1;2001-03-08;historico
2001-06-10;boa_esperanca;0;2001-03-08;historico
2001-06-11;boa_esperanca;0.3;2001-03-08;historico
2001-06-12;boa_esperanca;0;2001-03-08;historico
2001-06-13;boa_esperanca;0;2001-03-08;historico
2001-06-14;boa_esperanca;0;2001-03-08;historico
2001-06-15;boa_esperanca;0;2001-03-08;historico
2001-06-16;boa_esperanca;0;2001-03-08;historico
2001-06-17;boa_esperanca;0;2001-03-08;historico
2001-06-18;boa_esperanca;0;2001-03-08;historico
2001-06-19;boa_esperanca;0;2001-03-08;historico
2001-06-20;boa_esperanca;0;2001-03-08;historico
2001-06-21;boa_esperanca;0;2001-03-08;historico
2001-06-22;boa_esperanca;0;2001-03-08;historico
2001-06-23;boa_esperanca;0.2;2001-03-08;historico
2001-06-24;boa_esperanca;0;2001-03-08;historico
2001-06-25;boa_esperanca;0.1;2001-03-08;historico
2001-06-26;boa_esperanca;0.2;2001-03-08;historico
2001-06-27;boa_esperanca;0;2001-03-08;historico
2001-06-28;boa_esperanca;0.1;2001-03-08;historico
2001-06-29;boa_esperanca;0.8;2001-03-08;historico
2001-06-30;boa_esperanca;0;2001-03-08;historico
2001-07-01;boa_esperanca;0;2001-03-08;historico
2001-07-02;boa_esperanca;0;2001-03-08;historico
2001-07-03;boa_esperanca;0.1;2001-03-08;historico
2001-07-04;boa_esperanca;0.1;2001-03-08;historico
2001-07-05;boa_esperanca;0;2001-03-08;historico
2001-07-06;boa_esperanca;0;2001-03-08;historico
2001-07-07;boa_esperanca;0;2001-03-08;historico
2001-07-08;boa_esperanca;0;2001-03-08;historico
2001-07-09;boa_esperanca;0;2001-03-08;historico
2001-07-10;boa_esperanca;0;2001-03-08;historico
2001-07-11;boa_esperanca;0;2001-03-08;historico
2001-07-12;boa_esperanca;0;2001-03-08;historico
2001-07-13;boa_esperanca;0;2001-03-08;historico
2001-07-14;boa_esperanca;0.1;2001-03-08;historico
2001-07-15;boa_esperanca;0;2001-03-08;historico
2001-07-16;boa_esperanca;0;2001-03-08;historico
2001-07-17;boa_esperanca;0;2001-03-08;historico
2001-07-18;boa_esperanca;0;2001-03-08;historico
2001-07-19;boa_esperanca;0;2001-03-08;historico
2001-07-20;boa_esperanca;0;2001-03-08;historico
2001-07-21;boa_esperanca;0;2001-03-08;historico
2001-07-22;boa_esperanca;0;2001-03-08;historico
2001-07-23;boa_esperanca;0;2001-03-08;historico
2001-07-24;boa_esperanca;0;2001-03-08;historico
2001-07-25;boa_esperanca;0;2001-03-08;historico
2001-07-26;boa_esperanca;0;2001-03-08;historico
2001-07-27;boa_esperanca;0;2001-03-08;historico
2001-07-28;boa_esperanca;0;2001-03-08;historico
2001-07-29;boa_esperanca;0;2001-03-08;historico
2001-07-30;boa_esperanca;0;2001-03-08;historico
2001-07-31;boa_esperanca;0;2001-03-08;historico
2001-08-01;boa_esperanca;0;2001-03-08;historico
2001-08-02;boa_esperanca;0;2001-03-08;historico
2001-08-03;boa_esperanca;0;2001-03-08;historico
2001-08-04;boa_esperanca;0;2001-03-08;historico
2001-08-05;boa_esperanca;0;2001-03-08;historico
2001-08-06;boa_esperanca;0;2001-03-08;historico
2001-08-07;boa_esperanca;0;2001-03-08;historico
2001-08-08;boa_esperanca;0;2001-03-08;historico
2001-08-09;boa_esperanca;0;2001-03-08;historico
2001-08-10;boa_esperanca;0;2001-03-08;historico
2001-08-11;boa_esperanca;0;2001-03-08;historico
2001-08-12;boa_esperanca;0;2001-03-08;historico
2001-08-13;boa_esperanca;0;2001-03-08;historico
2001-08-14;boa_esperanca;0;2001-03-08;historico
2001-08-15;boa_esperanca;0;2001-03-08;historico
2001-08-16;boa_esperanca;0;2001-03-08;historico
2001-08-17;boa_esperanca;0;2001-03-08;historico
2001-08-18;boa_esperanca;0;2001-03-08;historico
2001-08-19;boa_esperanca;0;2001-03-08;historico
2001-08-20;boa_esperanca;0;2001-03-08;historico
2001-08-21;boa_esperanca;0;2001-03-08;historico
