data_caso;data_assimilacao;nome;variavel;valor
2001-07-08;2001-06-17;boa_esperanca;Qcalc;276.970294873358
2001-07-08;2001-06-18;boa_esperanca;Qcalc;275.878089852407
2001-07-08;2001-06-19;boa_esperanca;Qcalc;274.79737680266
2001-07-08;2001-06-20;boa_esperanca;Qcalc;273.727972721841
2001-07-08;2001-06-21;boa_esperanca;Qcalc;272.669697722938
2001-07-08;2001-06-22;boa_esperanca;Qcalc;271.622374980738
2001-07-08;2001-06-23;boa_esperanca;Qcalc;270.585830679286
2001-07-08;2001-06-24;boa_esperanca;Qcalc;269.559893960241
2001-07-08;2001-06-25;boa_esperanca;Qcalc;268.544396872127
2001-07-08;2001-06-26;boa_esperanca;Qcalc;267.539174320447
2001-07-08;2001-06-27;boa_esperanca;Qcalc;266.544064018661
2001-07-08;2001-06-28;boa_esperanca;Qcalc;265.55890644
2001-07-08;2001-06-29;boa_esperanca;Qcalc;264.583544770114
2001-07-08;2001-06-30;boa_esperanca;Qcalc;263.617824860528
2001-07-08;2001-07-01;boa_esperanca;Qcalc;262.661595182899
2001-07-08;2001-07-02;boa_esperanca;Qcalc;261.714706784061
2001-07-08;2001-07-03;boa_esperanca;Qcalc;260.777013241842
2001-07-08;2001-07-04;boa_esperanca;Qcalc;259.848370621634
2001-07-08;2001-07-05;boa_esperanca;Qcalc;258.928637433717
2001-07-08;2001-07-06;boa_esperanca;Qcalc;258.01767459131
2001-07-08;2001-07-07;boa_esperanca;Qcalc;257.115345369349
2001-08-08;2001-07-08;boa_esperanca;Qcalc;261.287262382401
2001-08-08;2001-07-09;boa_esperanca;Qcalc;260.217214628948
2001-08-08;2001-07-10;boa_esperanca;Qcalc;259.158768653078
2001-08-08;2001-07-11;boa_esperanca;Qcalc;258.111738593296
2001-08-08;2001-07-12;boa_esperanca;Qcalc;257.075941754412
2001-08-08;2001-07-13;boa_esperanca;Qcalc;256.051198553208
2001-08-08;2001-07-14;boa_esperanca;Qcalc;255.037332465026
2001-08-08;2001-07-15;boa_esperanca;Qcalc;254.034169971275
2001-08-08;2001-07-16;boa_esperanca;Qcalc;253.041540507843
2001-08-08;2001-07-17;boa_esperanca;Qcalc;252.059276414391
2001-08-08;2001-07-18;boa_esperanca;Qcalc;251.087212884524
2001-08-08;2001-07-19;boa_esperanca;Qcalc;250.125187916813
2001-08-08;2001-07-20;boa_esperanca;Qcalc;249.173042266655
2001-08-08;2001-07-21;boa_esperanca;Qcalc;248.230619398971
2001-08-08;2001-07-22;boa_esperanca;Qcalc;247.297765441708
2001-08-08;2001-07-23;boa_esperanca;Qcalc;246.374329140139
2001-08-08;2001-07-24;boa_esperanca;Qcalc;245.460161811953
2001-08-08;2001-07-25;boa_esperanca;Qcalc;244.555117303114
2001-08-08;2001-07-26;boa_esperanca;Qcalc;243.659051944477
2001-08-08;2001-07-27;boa_esperanca;Qcalc;242.771824509153
2001-08-08;2001-07-28;boa_esperanca;Qcalc;241.893296170602
2001-08-08;2001-07-29;boa_esperanca;Qcalc;241.023330461447
2001-08-08;2001-07-30;boa_esperanca;Qcalc;240.161793232999
2001-08-08;2001-07-31;boa_esperanca;Qcalc;239.308552615472
2001-08-08;2001-08-01;boa_esperanca;Qcalc;238.463478978882
2001-08-08;2001-08-02;boa_esperanca;Qcalc;237.626444894626
2001-08-08;2001-08-03;boa_esperanca;Qcalc;236.797325097706
2001-08-08;2001-08-04;boa_esperanca;Qcalc;235.975996449618
2001-08-08;2001-08-05;boa_esperanca;Qcalc;235.162337901864
2001-08-08;2001-08-06;boa_esperanca;Qcalc;234.356230460103
2001-08-08;2001-08-07;boa_esperanca;Qcalc;233.557557148907
2001-09-08;2001-08-08;boa_esperanca;Qcalc;233.22780207878
2001-09-08;2001-08-09;boa_esperanca;Qcalc;232.765195481357
2001-09-08;2001-08-10;boa_esperanca;Qcalc;232.303506462637
2001-09-08;2001-08-11;boa_esperanca;Qcalc;231.842733202604
2001-09-08;2001-08-12;boa_esperanca;Qcalc;231.382873884855
2001-09-08;2001-08-13;boa_esperanca;Qcalc;230.923926696588
2001-09-08;2001-08-14;boa_esperanca;Qcalc;230.465889828597
2001-09-08;2001-08-15;boa_esperanca;Qcalc;230.008761475265
2001-09-08;2001-08-16;boa_esperanca;Qcalc;229.552539834556
2001-09-08;2001-08-17;boa_esperanca;Qcalc;229.097223108007
2001-09-08;2001-08-18;boa_esperanca;Qcalc;228.642809500726
2001-09-08;2001-08-19;boa_esperanca;Qcalc;228.189297221377
2001-09-08;2001-08-20;boa_esperanca;Qcalc;227.736684482179
2001-09-08;2001-08-21;boa_esperanca;Qcalc;227.284969498899
2001-09-08;2001-08-22;boa_esperanca;Qcalc;226.834150490838
2001-09-08;2001-08-23;boa_esperanca;Qcalc;226.384225680835
2001-09-08;2001-08-24;boa_esperanca;Qcalc;225.935193295249
2001-09-08;2001-08-25;boa_esperanca;Qcalc;225.48705156396
2001-09-08;2001-08-26;boa_esperanca;Qcalc;225.039798720358
2001-09-08;2001-08-27;boa_esperanca;Qcalc;224.593433001336
2001-09-08;2001-08-28;boa_esperanca;Qcalc;224.147952647287
2001-09-08;2001-08-29;boa_esperanca;Qcalc;223.703355902091
2001-09-08;2001-08-30;boa_esperanca;Qcalc;223.259641013113
2001-09-08;2001-08-31;boa_esperanca;Qcalc;222.816806231195
2001-09-08;2001-09-01;boa_esperanca;Qcalc;222.374849810646
2001-09-08;2001-09-02;boa_esperanca;Qcalc;221.93377000924
2001-09-08;2001-09-03;boa_esperanca;Qcalc;221.493565088205
2001-09-08;2001-09-04;boa_esperanca;Qcalc;221.05423331222
2001-09-08;2001-09-05;boa_esperanca;Qcalc;220.615772949403
2001-09-08;2001-09-06;boa_esperanca;Qcalc;220.178182271309
2001-09-08;2001-09-07;boa_esperanca;Qcalc;219.741459552923
2001-10-08;2001-09-07;boa_esperanca;Qcalc;232.193904571994
2001-10-08;2001-09-08;boa_esperanca;Qcalc;231.036692073841
2001-10-08;2001-09-09;boa_esperanca;Qcalc;229.893743046943
2001-10-08;2001-09-10;boa_esperanca;Qcalc;228.7648235942
2001-10-08;2001-09-11;boa_esperanca;Qcalc;227.649703814629
