nome;parametro;valor
baixoig;Kt-37;0
baixoig;Kt-38;0
baixoig;Kt-39;0
baixoig;Kt-40;0
baixoig;Kt-41;0
baixoig;Kt-42;0
baixoig;Kt-43;0
baixoig;Kt-44;0
baixoig;Kt-45;0
baixoig;Kt-46;0
baixoig;Kt-47;0
baixoig;Kt-48;0
baixoig;Kt-49;0
baixoig;Kt-50;0
baixoig;Kt-51;0
baixoig;Kt-52;0
baixoig;Kt-53;0
baixoig;Kt-54;0
baixoig;Kt-55;0
baixoig;Kt-56;0
baixoig;Kt-57;0
baixoig;Kt-58;0
baixoig;Kt-59;0
baixoig;Kt-60;0
baixoig;Str;122.6674679
baixoig;K2t;2.65172189
baixoig;Crec;7.626533932
baixoig;Ai;0
baixoig;Capc;47.61498702
baixoig;K_kt;16.27247766
baixoig;K2t2;10
baixoig;H1;200
baixoig;H;200
baixoig;K3t;10
baixoig;K1t;10
baixoig;Ecof;0.970313684
baixoig;Pcof;1
baixoig;Ecof2;0
baixoig;ktMin;1
baixoig;ktMax;2
manso;Area;9347
manso;nKt;3
manso;Kt2;0.693105103
manso;Kt1;0.255865628
manso;Kt0;0.047204609
manso;Kt-1;0.003769097
manso;Kt-2;5.56E-05
manso;Kt-3;3.94E-10
manso;Kt-4;0
manso;Kt-5;0
manso;Kt-6;0
manso;Kt-7;0
manso;Kt-8;0
manso;Kt-9;0
manso;Kt-10;0
manso;Kt-11;0
manso;Kt-12;0
manso;Kt-13;0
manso;Kt-14;0
manso;Kt-15;0
manso;Kt-16;0
manso;Kt-17;0
manso;Kt-18;0
manso;Kt-19;0
manso;Kt-20;0
manso;Kt-21;0
manso;Kt-22;0
manso;Kt-23;0
manso;Kt-24;0
manso;Kt-25;0
manso;Kt-26;0
manso;Kt-27;0
manso;Kt-28;0
manso;Kt-29;0
manso;Kt-30;0
manso;Kt-31;0
manso;Kt-32;0
manso;Kt-33;0
manso;Kt-34;0
manso;Kt-35;0
manso;Kt-36;0
manso;Kt-37;0
manso;Kt-38;0
manso;Kt-39;0
manso;Kt-40;0
manso;Kt-41;0
manso;Kt-42;0
manso;Kt-43;0
manso;Kt-44;0
manso;Kt-45;0
manso;Kt-46;0
manso;Kt-47;0
manso;Kt-48;0
manso;Kt-49;0
manso;Kt-50;0
manso;Kt-51;0
manso;Kt-52;0
manso;Kt-53;0
manso;Kt-54;0
manso;Kt-55;0
manso;Kt-56;0
manso;Kt-57;0
manso;Kt-58;0
manso;Kt-59;0
manso;Kt-60;0
manso;Str;120.761094
manso;K2t;6.908445111
manso;Crec;90.13117055
manso;Ai;0
manso;Capc;87.80485444
manso;K_kt;326.0104898
manso;K2t2;10
manso;H1;200
manso;H;200
manso;K3t;10
manso;K1t;10
manso;Ecof;0.528783768
manso;Pcof;0.677847686
