data;avermelha;ssimao2;navanhanda;capivara;manso;ita;irape;candonga;dfranc;smesa;pimentalt;colider;baixoig;sobradinho
02/02/2019;5.898037255;5.929652824;5.822932768;6.439950384;5.261624642;5.620013722;6.1951052;5.707041582;4.779840094;5.634064518;4.53537316;5.0946575;6.203666006;5.910675834
03/02/2019;5.934692196;5.943551309;6.259313374;5.837826777;5.217549336;2.796197924;6.459183678;6.079097065;3.330061116;5.539309302;4.383619395;5.228054378;4.033506246;5.815568637
04/02/2019;5.454163589;5.394390412;5.339669772;4.502170323;5.250613554;3.709767566;6.284917924;4.766575019;4.703344221;5.135224425;4.886797708;5.593206336;3.615968745;5.701690067
05/02/2019;4.812412382;5.060016096;4.333947085;4.236487489;5.487643544;4.124933153;4.500631631;4.094194528;4.616674211;4.967836786;4.636028876;5.41429291;3.344426149;4.529271349
06/02/2019;4.463074037;4.386623632;4.752473823;5.126869467;4.707968811;4.624168107;4.402243832;3.374500936;5.337181089;3.71232272;4.529535922;4.725071787;4.742531819;4.412748985
07/02/2019;5.405089596;4.722857547;5.680630833;5.742864189;5.07288331;5.002432145;4.186906804;3.466984694;5.500803748;4.84421518;4.246139159;4.653738148;5.182996428;4.559124964
08/02/2019;5.553376582;4.876721501;6.064781646;5.939474839;4.916704409;5.54461147;4.608172497;4.861959227;6.197700642;3.674535576;4.113086206;4.432671223;5.422600201;4.821839088
09/02/2019;5.798308608;5.372299123;6.296732515;6.19168242;4.082773693;5.766331678;4.844049741;4.938126682;6.232131761;4.338231601;3.719631512;3.775653573;5.746253031;4.836182627
10/02/2019;4.945652887;4.238883947;5.524263896;5.775506648;4.806605465;3.571348565;4.695974805;4.916384045;4.071439919;3.773180058;4.340221184;4.550307531;3.973251586;4.743898175
11/02/2019;4.630677758;4.657980991;4.912295541;4.50512356;4.449369361;4.893905894;5.543994251;4.821860307;5.005835237;5.130732148;4.953220278;4.890201913;4.523603677;5.507931211
12/02/2019;4.111197288;3.886677837;3.872284896;4.010679823;4.527833277;3.308609817;5.842448449;5.037121214;3.084522353;4.695446629;4.585755422;4.452707878;3.835464023;5.6809418
13/02/2019;3.744417778;4.108454227;3.642540713;3.782981789;4.827277556;4.246861843;5.859045139;3.509655325;4.819430122;5.078170729;4.319764748;4.535853554;4.757345391;5.881959941
14/02/2019;4.579067346;4.763890278;4.674376753;4.756545208;3.844287306;4.376121822;5.073394948;3.488718719;5.347902359;4.944886254;4.014608085;3.535722564;4.677748342;4.995769796
15/02/2019;4.507431926;4.671181972;3.924272909;3.338322543;3.919026217;2.346445627;4.510570155;4.347369919;2.247752921;4.74759552;4.109403209;4.067377882;2.926609489;4.773689802
16/02/2019;2.896736562;2.476186422;3.395383308;4.366790152;3.390105823;3.716946787;3.971742135;3.234541322;4.240877957;3.469054764;3.77944743;3.54341322;3.735609084;4.294108079
17/02/2019;4.586090869;3.4226345;4.827128777;4.487905847;4.339362406;3.692510385;3.855651392;3.692125795;4.455938884;3.022389766;3.103447796;3.491330647;4.194130597;4.194879141
18/02/2019;4.244688881;3.796607019;4.518939574;4.729939499;5.123947664;4.454606619;3.982002741;4.018440636;4.836182504;2.868662724;3.674706374;4.605367994;4.370544794;3.920118957
19/02/2019;4.650056669;4.71495388;4.464069221;4.134277157;3.307332813;3.971115145;5.070326848;4.445775669;4.739444336;4.271550947;4.24885444;4.165590097;4.196970611;4.969469276
