data;AVERMELHA;SSIMAO2;NAvanhanda;Capivara;Manso;Ita;IRAPE;Candonga;DFRANC;Smesa;PimentalT;Colider;BaixoIg;SOBRADINHO
21/04/1999;4.014242193;3.932807981;4.048038678;3.26760506;4.047064209;3.037561636;3.167167607;2.952893028;2.617784378;4.081469612;3.205165002;3.859291978;2.365489695;4.435216201
22/04/1999;4.101249449;4.289816888;3.940472457;3.369041783;3.770014191;2.728138908;3.424815538;2.879210074;2.554289311;4.235947587;3.159904234;3.841156621;3.110411389;4.889221077
23/04/1999;3.979681528;4.116573383;3.852805033;3.484148157;3.944371796;3.0323789;3.256414117;2.648132711;3.117200486;4.314075452;3.390878001;3.591553438;3.243186422;4.500517759
24/04/1999;3.677203435;3.573372103;3.491943359;3.454789011;4.112248611;2.827336296;2.402442763;2.433440196;2.180170911;4.083118421;3.214958929;3.891965663;3.080806921;4.122017908
25/04/1999;3.722517772;3.688836184;3.766070067;3.576636434;4.090544128;2.562253108;2.416874186;2.332963581;2.280995146;3.943874592;3.349720616;3.947386992;3.286081446;4.10511921
26/04/1999;4.245593984;4.078107427;3.921662936;3.588085097;3.925917053;2.678158119;2.781792535;2.093252448;2.520744973;3.980661598;2.911951373;3.632372062;3.168081151;4.20857981
27/04/1999;4.172218897;4.485232316;3.875546643;3.404616383;3.240079498;2.603389552;2.763599537;3.416905657;2.595405092;4.727308676;2.380046721;3.045583236;3.104573165;4.335954532
28/04/1999;3.939309397;4.148332689;3.808810269;3.098243868;3.342742538;2.306352459;2.717848036;1.856577813;0.650548123;4.281256018;2.215009874;3.510898381;2.6317465;4.087723978
29/04/1999;3.698147681;3.81877705;3.538709654;2.985646607;3.788838577;1.922204065;3.201244891;2.430493705;2.055928169;3.946301671;2.923935921;3.32325837;1.994018101;4.016931974
30/04/1999;3.270298127;3.789712705;2.974064959;3.159366005;4.080586243;1.291524543;2.77292164;2.490432353;2.297111674;3.865143825;2.776859407;3.311702146;1.675156848;4.319019151
01/05/1999;4.049600253;3.814603124;4.042970532;3.318796752;3.849343109;2.676377093;2.485989041;2.613832305;2.548178977;4.27523818;2.989736742;3.627877623;2.91886917;4.355969739
02/05/1999;4.365384338;4.360553653;4.007602218;3.326736265;4.076849365;2.787250957;3.001864963;3.051848206;2.824844685;4.295035349;3.132688953;3.408549284;3.038950401;4.245875746
03/05/1999;4.163639848;4.189601869;3.854353633;3.275855678;3.902907944;2.735271016;3.381979935;3.153103985;3.01186939;4.286954638;3.011559517;3.256720903;3.06034836;4.14967661
04/05/1999;3.713448801;3.978636754;3.533265719;3.256609094;3.140558624;2.890152728;3.73260272;2.921483293;2.614010101;4.265643339;2.818732477;2.798806314;3.072747259;4.266636936
05/05/1999;3.98131471;3.847568698;3.830392657;3.253882528;3.784864044;0.920240996;3.526349103;3.379779671;0.363491789;3.747696997;2.681905685;3.509263272;1.16668112;4.258545642
06/05/1999;3.883129489;3.508318982;3.275636548;1.578623413;3.54171524;0.761669284;3.584275083;3.370285614;1.68368514;3.65203972;3.352171867;3.335955089;0.327214987;4.218211541
07/05/1999;1.441394109;2.306795488;1.28047893;2.95146;3.227453613;2.056631995;3.487638798;2.513439323;2.540138569;3.550780104;3.121988604;3.788207304;2.398932429;3.953154871
08/05/1999;3.131830031;3.051213046;2.872620074;2.936592133;2.548942947;1.898244139;3.092303467;2.022087966;2.354072246;3.288218037;2.90315665;2.812446704;2.518580975;3.434660187
09/05/1999;3.363970685;3.398598796;3.19962773;3.014801149;3.840872192;2.123809064;1.852421061;2.006571709;2.354763112;3.330105634;2.633616786;3.510519858;2.740580039;3.711207384
10/05/1999;3.425863943;3.449241344;3.480763011;3.033040776;3.453499603;2.236744865;2.521204518;2.399173785;1.663203787;3.155951128;2.390517696;2.950605321;2.379639276;3.435359266
11/05/1999;2.3221365;3.019944846;1.933779974;1.777718115;3.26992569;1.871678087;2.646997975;2.440240015;1.871573266;3.514123764;2.475220219;2.889004666;1.935168578;3.200968545
12/05/1999;2.914716167;3.152555882;2.400702483;2.330135948;3.47287941;1.685974121;2.770367432;2.80724016;1.719226431;3.441236612;2.303573855;3.269494664;1.894910302;3.686107606
13/05/1999;3.01483745;3.443416488;2.718648423;2.118916253;3.935910034;2.216436918;3.096640354;2.473987048;1.569350709;3.507457178;3.128461284;3.787544185;2.381628358;3.337737079
14/05/1999;3.543950563;3.624263499;3.349238709;2.556094521;4.023704529;2.250161593;1.816067731;2.292686173;2.149115867;4.241697499;2.782836914;4.164509974;2.484372432;3.35621709
15/05/1999;3.573479765;3.654557334;3.457677688;2.854292032;3.880397034;1.864935203;3.096262614;2.296641289;2.120068327;4.154010325;2.385556129;4.115733562;2.347448972;3.214240047
16/05/1999;3.888035928;3.883192832;3.462636683;2.872434547;3.841827393;2.187791168;3.012456597;2.124070952;2.166152142;4.243001302;2.554690453;4.074539932;2.487468002;3.902900812
17/05/1999;3.311998593;3.442086266;3.037513009;2.663085938;3.251605225;1.583910833;2.613103118;2.199722483;1.494018068;4.147915406;2.782262494;3.262181703;2.019293152;3.9600985
18/05/1999;3.295256584;3.371339773;2.856768977;2.029428335;3.506601334;1.79413217;3.259016475;2.61901276;1.096996307;4.170796426;2.965643114;3.32441751;1.948111657;4.108382978
19/05/1999;2.937064878;3.461232163;2.979077861;2.985476104;4.039485168;0.724573667;3.366623716;3.189470315;1.029979949;4.09166277;3.004681003;3.997861131;1.519116392;4.002075228
